signatur;titel;laufzeit;geo_koordinate_x;geo_koordinate_y
11940;Spundwandsicherung beim Südaue-Durchlass;1935;52.393159;9.422574
11907;Umbau des Leineauslasses km 150,7 bei Lohnde;1928;52.401359;9.574178
11398;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1913;52.404315;9.583374
11879;Beschädigungen der Uferdeckung zwischen Sandverladestelle und Garbsner Brücke, Garbsen;1928;52.409757;9.596421
11869;Ausfüllung der Nadelbocknische mit Steinen und Sand der Kanalhauptbrücke über die Leine bei Seelze;1928;52.404315;9.583374
11736;Baustelle der Eisenbahnüberführung bei Lohnde;1912;52.398685;9.559541
11608;Sperrtor, Havelse;1916;52.413835;9.60965
11751;Verankerungen in der Vorder- und Seitenwand des linken Widerlagers zum Sperrtor bei Lohnde;1913;52.399019;9.562428
14507;Hannover-Limmer, Linke Kammerwand an der Aufstiegsschleuse;1914;52.384805;9.679825
11912;Hochwasserschäden am Auslass zur Leine km 150,8;1932;52.401609;9.57413
11897;Umbau des Leineauslasses km 150,7 bei Lohnde;1928;52.401609;9.57413
11611;Düker im Köllingsmoorgraben, Havelse;1913;52.411021;9.599506
11718;Brücke für die Eisenbahnüberführung bei Lohnde;1912;52.398623;9.559589
11467;Brücke Nr. 117 c (Kaiserbrücke), Hannover-Vahrenwald;1913;52.407749;9.739574
11726;Baustelle der Brücke in der Leinemasch bei Hannover-Ahlem;1912;52.396095;9.667208
11651;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.405566;9.799121
11790;Herstellung der Uferplatten im unteren Vorhafen, Hannover-Limmer;1913;52.37897;9.680617
11425;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1913;52.41241;9.647841
11546;Ausbaggerung, Hannover-Stöcken;1914;52.42028;9.634604
11439;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1915;52.41241;9.647841
11703;Kanalbaustelle, Hannover-Vahrenwald;1915;52.409325;9.734539
11929;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.380935;9.691493
11755;Baggerarbeiten im Leinebett und Verlegung des Flusses, Hanover-Limmer;1913;52.384128;9.683959
11632;Dükerbau bei der Kanalstrecke, Hannover-Vahrenwald;1915;52.410865;9.729856
11629;Dükerbau bei der Kanalstrecke, Hannover-Vahrenwald;1914;52.410867;9.729854
11684;Dammbruch am Eilenriedegraben, Hannover;1915;52.405007;9.754356
11701;Kanalbaustelle, Hannover-Vahrenwald;1915;52.4108;9.729902
11447;Grundstück Biermann südlich der Brücke Nr. 112, Garbsen;1915;52.408564;9.594432
11706;Kanalbaustelle, Hannover-Vahrenwald;1915;52.412055;9.726393
11825;Ausschachtungsarbeiten am Harenberger Düker, Harenberg;1914;52.389498;9.618375
11928;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.381217;9.690694
11592;Ãœberflutete Wiesen, Garbsen;1915;52.409877;9.597743
11930;Herrenhäuser Wehr, Hannover-Herrenhausen;1932;52.381198;9.69081
11550;Station 46 nördlich der Flutbrücke bei Garbsen;1915;52.409831;9.596809
11891;Trogwand der Kanalhauptbrücke über die Leine bei Seelze;1928;52.403895;9.58402
11564;Station 48 und 80 nach Nordosten bei Garbsen;1915;52.41533;9.615879
11800;Verschalung der Umläufe im Unterhaupt der Aufstiegsschleuse, Hannover-Limmer;1913;52.384742;9.680386
11514;Brücke an der Schierholzstrasse, Hannover-Gross Buchholz;1916;52.400261;9.821033
11752;Verankerungen in der Seiten- und Rückwand des rechten Widerlagers zum Sperrtor bei Lohnde;1913;52.399043;9.562413
11962;Linker und rechter Hochwasserdamm der Ihme zwischen Eisenbahnbrücke, Strassenbrücke, Krankenhaus Siloah und Schützenplatz, Hannover-Linden;1937;52.361196;9.726009
11702;Kanalbaustelle, Hannover-Vahrenwald;1915;52.412076;9.726353
11408;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1914;52.404328;9.583321
11753;Rechtes Widerlager mit Ufermauer und Eisenbahnbrücke bei Lohnde;1913;52.39857;9.559709
11984;Oberhaupt des Riegener Dükers D 206;1938;;
11798;Sperrtor mit Seilscheibenhäuschen im Hauptkanal bei Lohnde;1913;52.398857;9.562381
11570;Fahrwasserstrom unterhalb der Hauptbrücke;1916;;
11417;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1915;52.404013;9.583241
11935;Kanalhauptbrücke über die Leine bei Seelze;1934;52.404533;9.583479
11562;Kanalbett, Hannover-Stöcken;1916;52.421177;9.640215
11681;Dükerbau am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1915;52.395753;9.797242
11475;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1910;52.396006;9.797981
11895;Umbau des Leineauslasses km 150,7 bei Lohnde;1928;52.401087;9.574403
11555;Wiese des Hofbesitzers Mussmann, Havelse;1915;;
11639;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1914;52.395236;9.795853
11788;Herstellung der Kanäle für den städtischen Düker in Station 5 und 11 des Leineabstiegskanals, Hannover-Limmer;1913;52.38361;9.682759
11444;Brücke Nr. 112 an der Chaussee, Garbsen-Seelze;1913;52.409453;9.596161
11619;Baugrube des Dükers für den Desbrockswiedegraben, Hannover-Stöcken;1914;52.422267;9.651602
11627;Dükerbau, Hannover-Hainholz;1914;52.415474;9.716997
11945;Sandfang Rodenberger Aue bei Rodenberg;1936;52.387903;9.322582
